Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,GoalDifference,ShotsEffiency_Home,ShotsEffiency_Away,HomeTeamPoints,AwayTeamPoints,HomeTeamGoalDifference,AwayTeamGoalDifference
2021-22,2021-08-22T16:30:00Z,Arsenal,Chelsea,0,2,-1,0,2,A,P Tierney,6,22,3,5,9,8,10,4,3,0,0,0,-2,0.5,0.22727272727272727,0,3,-4,5.0
2021-22,2021-08-23T20:00:00Z,West Ham,Leicester,4,1,1,1,0,H,M Oliver,13,5,7,1,10,0,8,8,0,1,0,1,3,0.5384615384615384,0.2,3,3,5,-2.0
2021-22,2021-08-28T12:30:00Z,Man City,Arsenal,5,0,1,3,0,H,M Atkinson,25,1,10,0,14,0,5,7,1,2,0,1,5,0.4,0.0,6,0,9,-9.0
2021-22,2021-08-28T15:00:00Z,Aston Villa,Brentford,1,1,0,1,1,D,P Bankes,7,9,5,2,3,2,15,14,3,3,0,0,0,0.7142857142857143,0.2222222222222222,4,5,1,2.0
2021-22,2021-08-28T15:00:00Z,Brighton,Everton,0,2,-1,0,1,A,J Moss,14,14,3,5,4,5,7,9,1,2,0,0,-2,0.21428571428571427,0.35714285714285715,3,4,1,4.0
2021-22,2021-08-28T15:00:00Z,Newcastle,Southampton,2,2,0,0,0,D,P Tierney,10,22,5,6,4,4,11,6,3,3,0,0,0,0.5,0.2727272727272727,1,2,-4,-2.0
2021-22,2021-08-28T15:00:00Z,Norwich,Leicester,1,2,-1,1,1,D,R Jones,14,9,4,3,9,9,8,9,2,1,0,0,-1,0.2857142857142857,0.3333333333333333,0,3,-9,-1.0
2021-22,2021-08-28T15:00:00Z,West Ham,Crystal Palace,2,2,0,1,0,H,S Attwell,14,9,4,2,5,3,10,7,1,0,0,0,0,0.2857142857142857,0.2222222222222222,4,2,5,-3.0
2021-22,2021-08-28T17:30:00Z,Liverpool,Chelsea,1,1,0,1,1,D,A Taylor,24,6,7,3,12,3,13,4,0,2,0,1,0,0.2916666666666667,0.5,4,4,5,5.0
2021-22,2021-08-29T14:00:00Z,Burnley,Leeds,1,1,0,0,0,D,M Oliver,12,12,3,2,5,5,13,9,4,3,0,0,0,0.25,0.16666666666666666,1,2,-3,-4.0
2021-22,2021-08-29T14:00:00Z,Tottenham,Watford,1,0,1,1,0,H,A Marriner,15,9,8,2,10,3,8,14,3,3,0,0,1,0.5333333333333333,0.2222222222222222,6,3,3,-2.0
2021-22,2021-08-29T16:30:00Z,Wolves,Man United,0,1,-1,0,0,D,M Dean,15,10,6,3,5,7,7,9,3,4,0,0,-1,0.4,0.3,0,4,-3,5.0
